acronym_,expansion,id,text
TF,term frequency,EXT,"In the case of the TF tf, the simplest choice is to use the raw count of a term in a document, i.e., the number of times that term t occurs in document d."
TF,term frequency,EXT,"if t occurs in d and 0 otherwise;
TF adjusted for document length:"
TF,term frequency,EXT,A high weight in tf–idf is reached by a high TF  and a low document frequency of the term in the whole collection of documents; the weights hence tend to filter out common terms.
TF,transcription factor,EXT,"In molecular biology, a TF   is a protein that controls the rate of transcription of genetic information from DNA to messenger RNA, by binding to a specific DNA sequence."
TF,transcription factor,EXT,"The number of TFs found within an organism increases with genome size, and larger genomes tend to have more TFs per gene."
TF,transcription factor,EXT,"There are approximately 2800 proteins in the human genome that contain DNA-binding domains, and 1600 of these are presumed to function as TFs, though other studies indicate it to be a smaller number."
TF,transcription factor,EXT,"Therefore, approximately 10% of genes in the genome code for TFs, which makes this family the single largest family of human proteins."
TF,transcription factor,EXT,"Furthermore, genes are often flanked by several binding sites for distinct TFs, and efficient expression of each of these genes requires the cooperative action of several different TFs ."
TF,transcription factor,EXT,"Hence, the combinatorial use of a subset of the approximately 2000 human TFs easily accounts for the unique regulation of each gene in the human genome during development."
TF,transcription factor,EXT,"Depending on the TF, the transcription of the adjacent gene is either up- or down-regulated."
TF,transcription factor,EXT,The TF can either do this directly or recruit other proteins with this catalytic activity.
TF,transcription factor,EXT,"Many TFs use one or the other of two opposing mechanisms to regulate transcription:histone acetyltransferase  activity – acetylates histone proteins, which weakens the association of DNA with histones, which make the DNA more accessible to transcription, thereby up-regulating transcription"
TF,transcription factor,EXT,recruit coactivator or corepressor proteins to the TF
TF,transcription factor,EXT,"Below are some of the important functions and biological roles TFs are involved in:


==="
TF,transcription factor,EXT,"In eukaryotes, an important class of TFs called general TFs  are necessary for transcription to occur."
TF,transcription factor,EXT,Other TFs differentially regulate the expression of various genes by binding to enhancer regions of DNA adjacent to regulated genes.
TF,transcription factor,EXT,"These TFs are critical to making sure that genes are expressed in the right cell at the right time and in the right amount, depending on the changing requirements of the organism."
TF,transcription factor,EXT,Many TFs in multicellular organisms are involved in development.
TF,transcription factor,EXT,"Responding to stimuli, these TFs turn on/off the transcription of the appropriate genes, which, in turn, allows for changes in cell morphology or activities needed for cell fate determination and cellular differentiation."
TF,transcription factor,EXT,"The Hox TF family, for example, is important for proper body pattern formation in organisms as diverse as fruit flies to humans."
TF,transcription factor,EXT,"Another example is the TF encoded by the sex-determining region Y  gene, which plays a major role in determining sex in humans."
TF,transcription factor,EXT,"If the signal requires upregulation or downregulation of genes in the recipient cell, often TFs will be downstream in the signaling cascade."
TF,transcription factor,EXT,Estrogen signaling is an example of a fairly short signaling cascade that involves the estrogen receptor TF:
TF,transcription factor,EXT,Not only do TFs act downstream of signaling cascades related to biological stimuli but they can also be downstream of signaling cascades involved in environmental stimuli.
TF,transcription factor,EXT,"Many TFs, especially some that are proto-oncogenes or tumor suppressors, help regulate the cell cycle and as such determine how large a cell will get and when it can divide into two daughter cells."
TF,transcription factor,EXT,This is also true with TFs:  Not only do TFs control the rates of transcription to regulate the amounts of gene products  available to the cell but TFs themselves are regulated .
TF,transcription factor,EXT,"Below is a brief synopsis of some of the ways that the activity of TFs can be regulated:


="
TF,transcription factor,EXT,Any of these steps can be regulated to affect the production  of a TF.
TF,transcription factor,EXT,An implication of this is that TFs can regulate themselves.
TF,transcription factor,EXT,"For example, in a negative feedback loop, the TF acts as its own repressor:  If the TF protein binds the DNA of its own gene, it down-regulates the production of more of itself."
TF,transcription factor,EXT,This is one mechanism to maintain low levels of a TF in a cell.
TF,transcription factor,EXT,"In eukaryotes, TFs  are transcribed in the nucleus but are then translated in the cell's cytoplasm."
TF,transcription factor,EXT,"But, for many TFs, this is a key point in their regulation."
TF,transcription factor,EXT,Important classes of TFs such as some nuclear receptors must first bind a ligand while in the cytoplasm before they can relocate to the nucleus.
TF,transcription factor,EXT,"==
Transcription factors may be activated  through their signal-sensing domain by a number of mechanisms including:

ligand binding – Not only is ligand binding able to influence where a TF is located within a cell but ligand binding can also affect whether the TF is in an active state and capable of binding DNA or other cofactors ."
TF,transcription factor,EXT,Many TFs such as STAT proteins must be phosphorylated before they can bind DNA.
TF,transcription factor,EXT,interaction with other TFs  or coregulatory proteins
TF,transcription factor,EXT,DNA within nucleosomes is inaccessible to many TFs.
TF,transcription factor,EXT,"Some TFs, so-called pioneer factors are still able to bind their DNA binding sites on the nucleosomal DNA."
TF,transcription factor,EXT,"For most other TFs, the nucleosome should be actively unwound by molecular motors such as chromatin remodelers."
TF,transcription factor,EXT,"Alternatively, the nucleosome can be partially unwrapped by thermal fluctuations, allowing temporary access to the TF binding site."
TF,transcription factor,EXT,"In many cases, a TF needs to compete for binding to its DNA binding site with other TFs and histones or non-histone chromatin proteins."
TF,transcription factor,EXT,Pairs of TFs and other proteins can play antagonistic roles  in the regulation of the same gene.
TF,transcription factor,EXT,Availability of other cofactors/TFs
TF,transcription factor,EXT,Most TFs do not work alone.
TF,transcription factor,EXT,"For gene transcription to occur, a number of TFs must bind to DNA regulatory sequences."
TF,transcription factor,EXT,"This collection of TFs, in turn, recruit intermediary proteins such as cofactors that allow efficient recruitment of the preinitiation complex and RNA polymerase."
TF,transcription factor,EXT,"Thus, for a single TF to initiate transcription, all of these other proteins must also be present, and the TF must be in a state where it can bind to them if necessary."
TF,transcription factor,EXT,Cofactors are proteins that modulate the effects of TFs.
TF,transcription factor,EXT,The DNA binding sites of 519 TFs were evaluated.
TF,transcription factor,EXT,"Of these, 169 TFs  did not have CpG dinucleotides in their binding sites, and 33 TFs  could bind to a CpG-containing motif but did not display a preference for a binding site with either a methylated or unmethylated"
TF,transcription factor,EXT,"There were 117 TFs  that were inhibited from binding to their binding sequence if it contained a methylated CpG site, 175 TFs  that had enhanced binding if their binding sequence had a methylated CpG site, and 25 TFs  were either inhibited or had enhanced binding depending on where in the binding sequence the methylated CpG was located."
TF,transcription factor,EXT,"Multiple TFs important in cell differentiation and lineage specification, including NANOG, SALL4A, WT1, EBF1, PU.1, and E2A, have been shown to recruit TET enzymes to specific genomic loci  to act on methylcytosine  and convert it to hydroxymethylcytosine hmC ."
TF,transcription factor,EXT,"TET-mediated conversion of mC to hmC appears to disrupt the binding of 5mC-binding proteins including MECP2 and MBD  proteins, facilitating nucleosome remodeling and the binding of TFs, thereby activating transcription of those genes."
TF,transcription factor,EXT,EGR1 is an important TF in memory formation.
TF,transcription factor,EXT,The TF EGR1 recruits the TET1 protein that initiates a pathway of DNA demethylation.
TF,transcription factor,EXT,DNA sequences that bind TFs are often referred to as response elements.
TF,transcription factor,EXT,The portion  of the TF that binds DNA is called its DNA-binding domain.
TF,transcription factor,EXT,"Below is a partial list of some of the major families of DNA-binding domains/TFs:


="
TF,transcription factor,EXT,The DNA sequence that a TF binds to is called a TF-binding site or response element.
TF,transcription factor,EXT,"Due to the nature of these chemical interactions, most TFs bind DNA in a sequence specific manner."
TF,transcription factor,EXT,"However, not all bases in the TF-binding site may actually interact with the TF."
TF,transcription factor,EXT,"Thus, TFs do not bind just one sequence but are capable of binding a subset of closely related sequences, each with a different strength of interaction."
TF,transcription factor,EXT,"For example, although the consensus binding site for the TATA-binding protein  is TATAAAA, the TBP TF can also bind similar sequences such as TATATAT or TATATAA."
TF,transcription factor,EXT,"Because TFs can bind a set of related sequences and these sequences tend to be short, potential TF binding sites can occur by chance if the DNA sequence is long enough."
TF,transcription factor,EXT,"It is unlikely, however, that a TF will bind all compatible sequences in the genome of the cell."
TF,transcription factor,EXT,"Other constraints, such as DNA accessibility in the cell or availability of cofactors may also help dictate where a TF will actually bind."
TF,transcription factor,EXT,"Thus, given the genome sequence it is still difficult to predict where a TF will actually bind in a living cell."
TF,transcription factor,EXT,"Due to their important roles in development, intercellular signaling, and cell cycle, some human diseases have been associated with mutations in TFs."
TF,transcription factor,EXT,"Many TFs are either tumor suppressors or oncogenes, and, thus, mutations or aberrant regulation of them is associated with cancer."
TF,transcription factor,EXT,Three groups of TFs are known to be important in human cancer:
TF,transcription factor,EXT,Approximately 10% of currently prescribed drugs directly target the nuclear receptor class of TFs.
TF,transcription factor,EXT,"In addition, TFs are often indirectly modulated by drugs through signaling cascades."
TF,transcription factor,EXT,It might be possible to directly target other less-explored TFs such as NF-κB with drugs.
TF,transcription factor,EXT,This applies particularly to TFs.
TF,transcription factor,EXT,"However, changes of the DNA binding specificities of the single-copy LEAFY TF, which occurs in most land plants, have recently been elucidated."
TF,transcription factor,EXT,"In that respect, a single-copy TF can undergo a change of specificity through a promiscuous intermediate without losing function."
TF,transcription factor,EXT,"Similar mechanisms have been proposed in the context of all alternative phylogenetic hypotheses, and the role of TFs in the evolution of all species."
TF,transcription factor,EXT,There are different technologies available to analyze TFs.
TF,transcription factor,EXT,"On the genomic level, DNA-sequencing and database research are commonly used The protein version of the TF is detectable by using specific antibodies."
TF,transcription factor,EXT,"By using electrophoretic mobility shift assay , the activation profile of TFs can be detected."
TF,transcription factor,EXT,A multiplex approach for activation profiling is a TF chip system where several different TFs can be detected in parallel.
TF,transcription factor,EXT,The most commonly used method for identifying TF binding sites is chromatin immunoprecipitation .
TF,transcription factor,EXT,"This technique relies on chemical fixation of chromatin with formaldehyde, followed by co-precipitation of DNA and the TF of interest using an antibody that specifically targets that protein."
TF,transcription factor,EXT,The DNA sequences can then be identified by microarray or high-throughput sequencing  to determine TF binding sites.
TF,transcription factor,EXT,"As described in more detail below, TFs may be classified by their  mechanism of action,  regulatory function, or "
TF,transcription factor,EXT,There are two mechanistic classes of TFs:
TF,transcription factor,EXT,General TFs are involved in the formation of a preinitiation complex.
TF,transcription factor,EXT,Upstream TFs are proteins that bind somewhere upstream of the initiation site to stimulate or repress transcription.
TF,transcription factor,EXT,"These are roughly synonymous with specific TFs, because they vary considerably depending on what recognition sequences are present in the proximity of the gene."
TF,transcription factor,EXT,"===
Transcription factors have been classified according to their regulatory function:
I. constitutively active – present in all cells at all times – general TFs, Sp1, NF1, CCAAT
II."
TF,transcription factor,EXT,"II.B.3 cell membrane receptor-dependent – second messenger signaling cascades resulting in the phosphorylation of the TF
II.B.3.a resident nuclear factors – reside in the nucleus regardless of activation state – CREB, AP-1, Mef2
II.B.3.b latent cytoplasmic factors – inactive form reside in the cytoplasm, but, when activated, are translocated into the nucleus – STAT, R-SMAD, NF-κB, Notch, TUBBY, NFAT


=="
TF,transcription factor,EXT,Myogenic TFs
TF,transcription factor,EXT,4.5 Class: beta-Barrel alpha-helix TFs
SS,speech synthesis,EXT,"Despite the success of purely electronic SS, research into mechanical speech-synthesizers continues."
SS,speech synthesis,EXT,"LSP is an important technology for SS and coding, and in the 1990s was adopted by almost all international speech coding standards as an essential component, contributing to the enhancement of digital speech communication over mobile channels and the internet."
SS,speech synthesis,EXT,Handheld electronics featuring SS began emerging in the 1970s.
SS,speech synthesis,EXT,"The first video game to feature SS was the 1980 shoot 'em up arcade game, Stratovox , from Sun Electronics."
SS,speech synthesis,EXT,"The first personal computer game with SS was Manbiki Shoujo , released in 1980 for the PET 2001, for which the game's developer, Hiroshi Suzuki, developed a ""zero cross"" programming technique to produce a synthesized speech waveform."
SS,speech synthesis,EXT,"The quality of synthesized speech has steadily improved, but as of 2016 output from contemporary SS systems remains clearly distinguishable from actual human speech."
SS,speech synthesis,EXT,The most important qualities of a SS system are naturalness and intelligibility.
SS,speech synthesis,EXT,"Recently, researchers have proposed various automated methods to detect unnatural segments in unit-selection SS systems."
SS,speech synthesis,EXT,"However, maximum naturalness is not always the goal of a SS system, and formant synthesis systems have advantages over concatenative systems."
SS,speech synthesis,EXT,"Until recently, articulatory synthesis models have not been incorporated into commercial SS systems."
SS,speech synthesis,EXT,The Mel-frequency cepstrum feature used in the speech recognition task is not suitable for SS because it reduces too much information.
SS,speech synthesis,EXT,"In the later in the same year, Google proposed Tacotron2 which combined the WaveNet vocoder with the revised Tacotron architecture to perform end-to-end SS."
SS,speech synthesis,EXT,Neural vocoder plays a important role in deep learning-based SS to generate high-quality speech from acoustic features.
SS,speech synthesis,EXT,"As a result, nearly all SS systems use a combination of these approaches."
SS,speech synthesis,EXT,"On the other hand, SS systems for languages like English, which have extremely irregular spelling systems, are more likely to rely on dictionaries, and to use rule-based methods only for unusual words, or words that aren't in their dictionaries."
SS,speech synthesis,EXT,The consistent evaluation of SS systems may be difficult because of a lack of universally agreed objective evaluation criteria.
SS,speech synthesis,EXT,The quality of SS systems also depends on the quality of the production technique  and on the facilities used to replay the speech.
SS,speech synthesis,EXT,Evaluating SS systems has therefore often been compromised by differences between production techniques and replay facilities.
SS,speech synthesis,EXT,"Since 2005, however, some researchers have started to evaluate SS systems using a common speech dataset."
SS,speech synthesis,EXT,"Popular systems offering SS as a built-in capability.


="
SS,speech synthesis,EXT,The 1400XL/1450XL computers used a Finite State Machine to enable World English Spelling text-to-SS.
SS,speech synthesis,EXT,"The Apple iOS operating system used on the iPhone, iPad and iPod Touch uses VoiceOver SS for accessibility."
SS,speech synthesis,EXT,"Some third party applications also provide SS to facilitate navigating, reading web pages or translating text."
SS,speech synthesis,EXT,"AmigaOS ===

The second operating system to feature advanced SS capabilities was AmigaOS, introduced in 1985."
SS,speech synthesis,EXT,The synthesis software remained largely unchanged from the first AmigaOS release and Commodore eventually removed SS support from AmigaOS 2.1 onward.
SS,speech synthesis,EXT,"Despite the American English phoneme limitation, an unofficial version with multilingual SS was developed."
SS,speech synthesis,EXT,Modern Windows desktop systems can use SAPI 4 and SAPI 5 components to support SS and speech recognition.
SS,speech synthesis,EXT,Not all programs can use SS directly.
SS,speech synthesis,EXT,"In the early 1980s, TI was known as a pioneer in SS, and a highly popular plug-in speech synthesizer module was available for the TI-99/4 and 4A. Speech synthesizers were offered free with the purchase of a number of cartridges and were used by many TI-written video games ."
SS,speech synthesis,EXT,Version 1.6 of Android added support for SS .
SS,speech synthesis,EXT,"The BBC Micro incorporated the Texas Instruments TMS5220 SS chip,"
SS,speech synthesis,EXT,"GPS Navigation units produced by Garmin, Magellan, TomTom and others use SS for automobile navigation."
SS,speech synthesis,EXT,"With the 2016 introduction of Adobe Voco audio editing and generating software prototype slated to be part of the Adobe Creative Suite and the similarly enabled DeepMind WaveNet, a deep neural network based audio synthesis software from Google  SS is verging on being completely indistinguishable from a real human's voice."
SS,speech synthesis,EXT,"At the 2018 Conference on Neural Information Processing Systems  researchers from Google presented the work 'Transfer Learning from Speaker Verification to Multispeaker Text-To-Speech Synthesis', which transfers learning from speaker verification to achieve text-to-SS, that can be made to sound almost like anybody from a speech sample of only 5 seconds .Also researchers from Baidu Research presented an voice cloning system with similar aims at the 2018 NeurIPS conference, though the result is rather unconvincing."
SS,speech synthesis,EXT,Older SS markup languages include Java Speech Markup Language  and SABLE.
SS,speech synthesis,EXT,"In 2007, Animo Limited announced the development of a software application package based on its SS software FineSpeech, explicitly geared towards customers in the entertainment industries, able to generate narration and lines of dialogue according to user specifications."
SS,speech synthesis,EXT,"For example, SS, combined with speech recognition, allows for interaction with mobile devices via natural language processing interfaces."
SS,speech synthesis,EXT,"In addition, SS is a valuable computational aid for the analysis and assessment of speech disorders."
SS,social status,EXT,"Stanley Wasserman and Katherine Faust Stanley cautioned that ""there is considerable disagreement among social scientists about the definitions of the related concepts of social position, SS, and social role."
SS,social status,EXT,"Although for disadvantaged groups, status disadvantage is not completely negated by positively valued information, their SS does not depend predominantly on any particular group membership."
SS,social status,EXT,Status inconsistency is a situation where an individual's social positions have both positive and negative influences on his or her SS.
SS,social status,EXT,"These ways are SS, class power and political power."
SS,spectrum sensing,EXT,This standard uses geolocation and SS for spectral awareness.
SS,spectrum sensing,EXT,"It has been shown that a simple energy detector cannot guarantee the accurate detection of signal presence, calling for more sophisticated SS techniques and requiring information about SS to be regularly exchanged between nodes."
SS,spectrum sensing,EXT,Energy detection is a SS method that detects the presence/absence of a signal just by measuring the received signal power.
SS,spectrum sensing,EXT,"Cyclostationary-feature detection: These type of SS algorithms are motivated because most man-made communication signals, such as BPSK, QPSK, AM, OFDM, etc. exhibit cyclostationary behavior."
SS,spectrum sensing,EXT,"Wideband SS: refers to SS over large spectral bandwidth, typically hundreds of MHz or even several GHz."
SS,severe sepsis,EXT,"The risk of death from sepsis is as high as 30%, while for SS it is as high as 50%, and septic shock 80%."
SS,severe sepsis,EXT,"Fungal sepsis accounts for approximately 5% of SS and septic shock cases; the most common cause of fungal sepsis is an infection by Candida species of yeast, a frequent hospital-acquired infection."
SS,severe sepsis,EXT,"The most common sites of infection resulting in SS are the lungs, the abdomen, and the urinary tract."
SS,severe sepsis,EXT,"Early diagnosis is necessary to properly manage sepsis, as the initiation of rapid therapy is key to reducing deaths from SS."
SS,severe sepsis,EXT,"According to SIRS, there were different levels of sepsis: sepsis, SS, and septic shock."
SS,severe sepsis,EXT,"Septic shock is SS plus persistently low blood pressure, despite the administration of intravenous fluids."
SS,severe sepsis,EXT,"In those with SS and septic shock, this sequence of events leads to a type of circulatory shock known as distributive shock."
SS,severe sepsis,EXT,"In SS and septic shock, broad-spectrum antibiotics  are recommended."
SS,severe sepsis,EXT,"If fungal infection is suspected, an echinocandin, such as caspofungin or micafungin, is chosen for people with SS, followed by triazole  for less ill people."
SS,severe sepsis,EXT,"In cases of SS and septic shock where a central venous catheter is used to measure blood pressures dynamically, fluids should be administered until the central venous pressure reaches 8–12 mmHg."
SS,severe sepsis,EXT,"When appropriately used, paralytics may aid successful mechanical ventilation, however evidence has also suggested that mechanical ventilation in SS does not improve oxygen consumption and delivery."
SS,severe sepsis,EXT,Early goal directed therapy  is an approach to the management of SS during the initial 6 hours after diagnosis.
SS,severe sepsis,EXT,"However, three more recent large randomized control trials , did not demonstrate a 90-day mortality benefit of early goal directed therapy when compared to standard therapy in SS."
SS,severe sepsis,EXT,"Recombinant activated protein C  was originally introduced for SS , where it was thought to confer a survival benefit."
SS,severe sepsis,EXT,"APACHE II factors in the person's age, underlying condition, and various physiologic variables to yield estimates of the risk of dying of SS."
SS,severe sepsis,EXT,Case-fatality rates are similar for culture-positive and culture-negative SS.
SS,severe sepsis,EXT,"Some people may experience severe long-term cognitive decline following an episode of SS, but the absence of baseline neuropsychological data in most people with sepsis makes the incidence of this difficult to quantify or to study.


=="
SS,severe sepsis,EXT,"In the United States sepsis affects approximately 3 in 1,000 people, and SS contributes to more than 200,000 deaths per year."
SS,severe sepsis,EXT,Children under 12 months of age and elderly people have the highest incidence of SS.
SS,severe sepsis,EXT,"However, according to the nationwide inpatient sample from the United States, the incidence of SS increased from 200 per 10,000 population in 2003 to 300 cases in 2007 for population aged more than 18 years."
SS,severe sepsis,EXT,"The Campaign has published an evidence-based review of management strategies for SS, with the aim to publish a complete set of guidelines in subsequent years."
SS,secondary structure,EXT,Protein SS is the three dimensional form of local segments of proteins.
SS,secondary structure,EXT,The concept of SS was first introduced by Kaj Ulrik Linderstrøm-Lang at Stanford in 1952.
SS,secondary structure,EXT,Other types of biopolymers such as nucleic acids also possess characteristic SSs.
SS,secondary structure,EXT,The most common SSs are alpha helices and beta sheets.
SS,secondary structure,EXT,"Tight turns and loose, flexible loops link the more ""regular"" SS elements."
SS,secondary structure,EXT,"The random coil is not a true SS, but is the class of conformations that indicate an absence of regular SS."
SS,secondary structure,EXT,Amino acids vary in their ability to form the various SS elements.
SS,secondary structure,EXT,"However, these preferences are not strong enough to produce a reliable method of predicting SS from sequence alone."
SS,secondary structure,EXT,Neutron scattering measurements have directly connected the spectral feature at ~1 THz to collective motions of the SS of beta-barrel protein GFP.Hydrogen
SS,secondary structure,EXT,"bonding patterns in SSs may be significantly distorted, which makes automatic determination of SS difficult."
SS,secondary structure,EXT,There are several methods for formally defining protein SS .
SS,secondary structure,EXT,"The Dictionary of Protein Secondary Structure, in short DSSP, is commonly used to describe the protein SS with single letter codes."
SS,secondary structure,EXT,The SS is assigned based on hydrogen bonding patterns as those initially proposed by Pauling et al.
SS,secondary structure,EXT,There are eight types of SS that DSSP defines:
SS,secondary structure,EXT,"Other protein SS assignment categories exist , but they are less frequently used."
SS,secondary structure,EXT,"The standard hydrogen-bond definition for SS is that of DSSP, which is a purely electrostatic model."
SS,secondary structure,EXT,"Although the DSSP formula is a relatively crude approximation of the physical hydrogen-bond energy, it is generally accepted as a tool for defining SS."
SS,secondary structure,EXT,SST is a Bayesian method to  assign SS to protein coordinate data using the Shannon information criterion of Minimum Message Length  inference.
SS,secondary structure,EXT,SST  treats any assignment of SS as a potential hypothesis that attempts to explain  given protein
SS,secondary structure,EXT,"the coordinates of a given protein coordinates in the most economical way, thus linking the inference of SS to lossless data compression."
SS,secondary structure,EXT,"Predicting protein tertiary structure from only its amino  sequence is a very challenging problem , but using the simpler SS definitions is more tractable."
SS,secondary structure,EXT,"These methods were based on the helix- or sheet-forming propensities of individual amino acids, sometimes coupled with rules for estimating the free energy of forming SS elements."
SS,secondary structure,EXT,The first widely used techniques to predict protein SS from the amino acid sequence were the Chou–Fasman method and the GOR method.
SS,secondary structure,EXT,"For example, a confidently predicted pattern of six SS elements βαββαβ is the signature of a ferredoxin fold."
SS,secondary structure,EXT,Both protein and nucleic acid SSs can be used to aid in multiple sequence alignment.
SS,secondary structure,EXT,These alignments can be made more accurate by the inclusion of SS information in addition to simple sequence information.
SS,secondary structure,EXT,Distant relationships between proteins whose primary structures are unalignable can sometimes be found by SS.
SS,secondary structure,EXT,A multiple neural network training program for protein SS prediction
SS,secondary structure,EXT,Genesilico metaserver Metaserver which allows to run over 20 different SS predictors by one click
GPS,global positioning system,EXT,The GPS.
PCA,principal component analysis,EXT,"In quantitative finance, PCA can be directly applied to the risk management of interest rate derivative portfolios."
PCA,principal component analysis,EXT,"One special extension is multiple correspondence analysis, which may be seen as the counterpart of PCA for categorical data."
PCA,principal component analysis,EXT,"Factor analysis is similar to PCA, in that factor analysis also involves linear combinations of variables."
PCA,principal component analysis,EXT,It extends the classic method of PCA  for the reduction of dimensionality of data by adding sparsity constraint on the input variables.
PCA,principal component analysis,EXT,"N-way PCA may be performed with models such as Tucker decomposition, PARAFAC, multiple factor analysis, co-inertia analysis, STATIS, and DISTATIS."
PCA,principal component analysis,EXT,"Outlier-resistant variants of PCA have also been proposed, based on L1-norm formulations .Robust PCA  via decomposition in low-rank and sparse matrices is a modification of PCA that works well with respect to grossly corrupted observations.


=="
PCA,principal component analysis,EXT,"Independent component analysis  is directed to similar problems as PCA, but finds additively separable components rather than successive approximations."
PCA,principal component analysis,EXT,Gretl – PCA can be performed either via the pca command or via the princomp function.
PCA,principal component analysis,EXT,Mathematica – Implements PCA with the PrincipalComponents command using both covariance and correlation methods.
PCA,principal component analysis,EXT,– Provides an implementation of PCA in C++.
PCA,principal component analysis,EXT,"R – Free statistical package, the functions princomp and prcomp can be used for PCA; prcomp uses singular value decomposition which generally gives better numerical accuracy."
PCA,principal component analysis,EXT,A layman's introduction to PCA on YouTube
MSE,mean squared error,EXT,"In statistics, the MSE  or mean squared deviation  of an estimator  measures the average of the squares of the errors—that is, the average squared difference between the estimated values and the actual value."
MSE,mean squared error,EXT,"The mean of the distance from each point to the predicted regression model can be calculated, and shown as the MSE."
MSE,mean squared error,EXT,The term MSE is sometimes used to refer to the unbiased estimate of error variance: the residual sum of squares divided by the number of degrees of freedom.
MSE,mean squared error,EXT,"In regression analysis, ""MSE"", often referred to as mean squared prediction error or ""out-of-sample MSE"", can also refer to the mean value of the squared deviations of the predictions from the true values, over an out-of-sample test space, generated by a model estimated over a particular sample space."
MSE,mean squared error,EXT,"μ


    {\displaystyle \mu }
    and a MSE of




        MSE
        ⁡"
