acronym,expansion,anchor_sentence
MTI,mixture time invariant,"This means that the historical group memberships influence the distribution of the current ones , in the MTV and MTI models , through the Dirichlet process parameters and the group - specific ( and time - invariant ) membership probabilities , respectively ."
MTI,medical text indexer,These keywords are identified using the Medical Text Indexer ( MTI ) .
SNN,siamese neural network,The idea behind SNN is that it tries to use twin or half - twin network to compare the input images .
SNN,spiking neural networks,"The hypothesis for our experiment is – if precise spike - times were important in N - MNIST , our SNN would perform poorly in the rate - based regime ."
SOP,sentence order prediction,"In SOP , two sentences are either consecutive or swapped ."
SOP,secrecy outage probability,They also confirm the existence of a floor phenomenon for the SOP in the absence of AN .
SVD,singular value decomposition,"Nevertheless , for the completeness of the discussion , the steps in the DWT - SVD watermarking scheme by Ali Al - Haj et al ."
SVD,singing voice detection,We hence need to improve our SVD system .
CD,cosine distance,"That is , the more frequent a word is in corpus C , the more its vector will be updated after initialization on C. Hence , VI predicts more change with higher frequency in C. width=0.45 Mean scores for CD across the alignments ."
CD,contrastive divergence,Contrastive divergence ( CD ) is a training technique used for RBMs .
CD,consecutive disks,"Chained Declustering ( CD ) The CD organization was proposed in conjunction with the Gamma database machine project , which was inspired by the Teradata DBC/1012 database computer ."
CD,critical difference,Figure visualizes the post hoc analysis using the CD diagram for AW dataset .
CD,chamfer distance,CD and EMD are heavily influenced by the outliers .
CD,contact distance,"Consider the integral : Substituting with its upper bound ( derived in Appendix ) , we get * Substituting the above along with the upper bound for CD distribution in eq : appndtwoparts , we get the desired upper bound ."
CD,cover difference,"The cover difference ( CD ) is where is the number of categories , and and represent the subset and probability measure of the label , respectively ."
CD,chemical diagram,"The ontology of structural diagramsDifferent types of CD ( such as 2D wireframe , 3D ball and stick ) obey different diagrammatic syntaxes ."
CD,crohn 's disease,Figure fig : ExpertAnnot1 shows an example with two consecutive slices of a patient affected with CD .
OCR,optical character recognition,htb ] Vehicle re - identification performance of the proposed Two - Stream network by using the best CNN for shape ( Small - VGG ) and the best OCR model ( CNN - OCR ) .
OCR,one - to - one character replacements,In this paper we build upon both of these ideas : we train a neural sequence - to - sequence ( seq2seq ) model able to receive a text span containing OCR errors as an input and producing corrected text as output .
MRC,machine reading comprehension,"Under the proposed MRC formulation , coreference resolution has the same format as the existing question answering datasets ."
MRC,maximal ratio combining,"The MRC , ZF and MMSE linear detectors approach the MFB performance as increases , however , the gap between the latter two detectors and MFB diminishes faster ."
MRC,magnetic resonance coupling,[ MRC ] Magnetic Resonance Coupling .
SAP,stable abstraction principle,A package near the main sequence is a package that conforms to the SAP and is as abstract as it is stable .
SAP,simple amplitude presitortion,The solid marked line curves represent the SAP technique with different set values of .
DPP,determinantal point process,Constructing the DPP kernelThere are numerous potential choices for the DPP kernel .
DPP,disjoint paths problem,"In this way we obtain a family , of instances to the topological DPP ."
QRF,quantile random forest,"To show the satisfactory performance of the proposed QRF - SJ model , PICP and PINAW are used as the evaluation metrics ."
QRF,quantile regression forest,3 ) We demonstrated the superiority and feasibility of the proposed QRF - SJ model using groundnut and millet as case studies .
GCM,google cloud messaging,"Since the index provided by the publisher corresponds to the same list maintained in the CEP engine , we are able to obtain the GCM ID for each subscriber we need to send the alert to ."
GCM,generalized cell - to - cell mapping,"Long - Term Water Flow AnalysisGiven the cell mapping from the vector field and flow lines for the given 2-D current layer in theprevious step , we apply the GCM method for finding the long - term behavior of the created water flow pattern ."
GCM,general circulation model,"While the ultimate goal is to test these ideas in a full general circulation model ( GCM : left for a future work ) , as a proof of concept we will use the two - timescale model proposed in , henceforth the L96 system , as a testbed for assessing the use of GAN in atmospheric models ."
GCM,galois / counter mode,( i. ) Symmetric key solutions : A symmetric encryption algorithm AES - GCM is used in to ensure the authenticity of the transmitted signals .
GCM,global circulation model,"In CTRLCAM , therefore , the radiation scheme is much more computationally expensive than in the standard setup where the radiation scheme is only called every few GCM time steps ."
PPP,poisson point process,"Using the null probability of PPP , we haveSince , taking the integral in ( a ) with respect to completes the proof of ( ) ( note that is a dummy variable ) . ( )"
PPP,palm point process,"Because the reduced Palm point process of a PPP has the same distribution as its original PPP , is still a PPP with intensity SG_Totorial1 ."
FCN,fully convolutional neural network,Extracted portions of handwritten text have arbitrary length and can benefit from FCN methods .
FCN,fully connected network,"Figure shows a qualitative comparison between the proposed , FCN , UNet and cGAN methods ."
RNN,recurrent neural network,"To model the spatial dependency of joints , we cast the graph structure into a sequence of joints and exactly develop a relevant RNN architecture ."
RNN,random neural networks,The last experiment is the proposed adaptive mechanism with RNN and UEP ( neuralFEC ) .
RNN,recursive neural network,"A RNN is a kind of deep neural network created by applying the same set of weights recursively over a structured input, to produce a structured prediction over variable-size input structures, or a scalar prediction on it, by traversing a given structure in topological order."
RNN,reverse nearest neighbour,"The RNN queries enable our algorithm to estimate densities taking more than a single entity into account , and to recover clusters that are not well - separated or have different densities ."
ML,machine learning,"Recent methods , however , have transitioned towards using advanced ML techniques such as Sparse Coding and Deep Learning as a proxy to sophisticated cognitive models ."
ML,maximum likelihood,"Since the ML implementation is prohibitively complex , we propose a reduced - complexity MSD detection scheme that is able to achieve the optimal ML performance ."
ML,model logic,"In case when the ML model is too complex , or when internal workings of the model are not accessible , a model - agnostic strategy is used ."
ML,malware landscape,"Without such data sets , vendor claims with respect to the quality of their malware detection solutions can not be assessed and compared in an unbiased way and developers of ML based attack detection tools have no benchmark to evaluate their algorithm against ."
ML,mortar luminance,"figuresectionB. Detected Hough lines on the Edge Maps*[htp ] DoG edge maps at seven scales ( ) for five Mortar - Luminance variations , from Black ( ML 0.00 ) to White ( ML 1.00 ) mortar lines , in which the edge maps are overlayed by the detected Hough lines displayed in green ( Blue lines indicate the longest lines detected ) ."
BC,bandwidth constraint,"BAM configuration involves 3 phases : i ) the definition of classes of services ( TCs - Traffic Classes ) with common requirements ( QoS , SLA or other user/ application parameter ) ; ii ) the definition of the amount of bandwidth per class ( BC - Bandwidth Constraint ) ; and iii ) BAM model configuration with an inherent behavior for resource sharing among TCs ."
BC,betweenness centrality,"The BC distribution follow power law and BC is related to degree as where , is BC exponent ."
BC,between class,"In BC learning , two audio signals from different classes are mixed with each other with a random ratio ."
BC,broadcast channel,"According to the main idea , the allocation of the fraction results by setting thetotal transmit power of the private messages of RS , in order to achieve approximately the same sum rate as the conventional multi - user BC with full power ."
BC,blockchain,Confidentiality : As discussed earlier that the design of other BC technologies runs the smart contracts on all the peers .
BN,bayesian network,"Using the BN network to reason with riskThe inference algorithms types are predictions , diagnostics , combined and intercausal ."
BN,batch normalization,"For ResNet-50 , the percentage of parameters in BN layers is only ."
TC,telephone conversations,"Low NE / Unique ratios ( ) can also be observed for ACE WL , ACE UN and OntoNotes TC ."
TC,town crier,"Then , if appropriate , it distributes a reward to the TC server ."
TC,tumor core,c c c c c c c & 3cSensitivity & 3cSpecificity & ET & WT & TC & ET & WT & TC Development set & 0.735 & 0.851 & 0.664 & 0.998 & 0.994 & 0.997 Validation set & 0.723 & 0.879 & 0.619 & 0.998 & 0.994 & 0.998 Results for BraTS 2017 data .
TC,time - continuous,"Furthermore TC performed also highly significant better than TD with a large effect size ( = 17.903 , .001 , = 5.592 ) ."
TC,target country,"However , the map of the Matcher is not labeled , so the name of the country alone is likely not sufficient to identify the TC ."
TC,total cover,"Proof of Proposition According to the definition,*thusEstimate of total cover In this section , we estimate the TC by the number of samples in training set ."
TC,traffic class,"As the traffic changes , the controller can allocate additional bandwidth to IoT traffic by reassigning the TC of IoT traffic flows to TC 's with available bandwidth in the links ."
TC,total correlation,"TC - D analysisIn Fig . ,"
TS,tree structures,"One of our major goals was to overcome the conservatism exhibited by state - of - the - art syntactic TS approaches , i.e. their tendency to retain the input sentence rather than transforming it ."
TS,terminal stance,"Moreover , further knee extension is essential to enable forward propulsion in late MS and TS , which may be insufficient in case of a decreased range of motion in the knee joint and/or a lack of muscle strength ."
TS,temperature scaling,"For instance , the best results reported by are a combination of their method with TS ."
TS,temperature - based sampling,"They both achieve a similar balance of quality and diversity as TS with , with reranking leading to greater diversity than frame prediction and the latter showing higher ROUGE / BLEU scores ."
TS,tabu search,TS - RF reduces the number of features by 62 while improving classification accuracy sufficiently .
TS,thompson sampling,"When considering constraints prob1-prob3 in Con - TS - RTP , the algorithm will select more conservative price signals each day that can guarantee the distribution system 's constraints are met with high probability by using the information in the updated prior distributions ."
TS,time series,"Time Series TS : indicates a time period following the time of the original post , measured in minutes ."
TS,time switching,"Figure 4 represents CEU ( ) capacity behavior w.r.t transmit SNR for the proposed CNOMA - SWIPT - PS - OAM and compared with CNOMA - SWIPT - PS , CNOMA - SWIPT - TS , and OMA - SWIPT - PS - OAM schemes as well ."
TS,target syntactic,"Since previously compiled TS corpora ( PWKP , EW - SEW , and Newsela ) contain only a small number of split examples , they are ill - suited for learning to decompose sentences into shorter , syntactically simplified components ."
TS,text summarization,A promising line in document summarization is adaptive document/TS.
TS,triadic simmelian,"TS , QLS and LS keep mostly edges within dense regions , which results in increasing clustering coefficients ."
TS,tessellation shader,Our next steps comprise of studying terrain rendering with TS implementations and adapt them to usage with PCG .
HPC,high performance computing,We showed that it is feasible to run an I / O bound analysis task on HPC resources with a Lustre parallel file system and achieve good scaling behavior up to 384 CPU cores with an almost 300-fold speed - up compared to serial execution .
HPC,hardware performance counters,"Despite the results , there is still room to try new approaches using Anomaly Detection techniques and HPC that may show more promising and direct results ."
OSS,orthogonal spectrum sharing,"Under the N - OSS policy , it can be noticed that the coverage probability decreases as the density of terrestrial - BSs increases due to the increase in the terrestrial interference ( more LoS terrestrial - BSs exist as the aerial user height increases ) ."
OSS,open source software,"Here one observes that our data shows a rather large degree of variation with respect to this fraction , which may be seen as an argument that this measure is an interesting indicator for the cohesiveness of OSS communities by itself ."
MAD,median absolute difference,The idea of the MAD is that an increase or decrease of percentage points would likely be of similar interest to institutions with different PP ( ) scores .
MAD,map attention decision,"Compared with the 76.8 mAP ( SSD in Table ) baseline on PASCAL , the single stage trained detector with our design achieves better performance at 78.1 , we believe the enhancement derive from better feature representation by deconvolution and the automatic feature selection via MAD unit ."
POS,partial optimal slacking,POS achieves this by using DVFS techniques shekar2010energy .
POS,part of speech,"An incoming individual is converted to a POS skeleton , and the algorithm checks if the skeleton is contained in the skeleton set ."
SSD,solid state disk,"Non SSD storage however , while having continued to grow cheaper , has not kept up with the rest of the hardware improvements ."
SSD,single shot detection,"figureimages / collage.jpgSample object detection results from the Faster R - CNN model ( labeled as red ) and SSD model ( labeled as blue)figureFirst , we train our models with a 0.7 IoU threshold instead of a 0.5 threshold , to ensure that the resulting detections tightly bound the objects in question ."
FA,feature alignment,"& & UCSD to & Mall to Method & Mall & UCSD FA & 7.47 & 4.44 HGP & 4.36 & 3.32 GPA & 4.18 & 2.79 GPTL & 3.55 & 2.91 Bidirectional ConvLSTM & 2.63 & 1.82 -2em ConclusionIn this paper , we have pursued the direction of spatiotemporal modeling for improving crowd counting in videos ."
FA,fractional anisotropy,tabularp0.8cmp5.5cmp6 cm 3cAmyloid Load ( PiB Positivity ) Set 1 & PiB Angular L / R & PiB Cingulum Ant L / R & PiB Cingulum Post L / R & PiB Frontal Med Orb L / R & PiB Precuneus L / R & PiB Temporal Sup L / R & PiB Temporal Mid L / R & PiB SupraMarginal L Set 2 & FA Cerebral peduncle R & FA Cerebral peduncle L & MD Corticospinal tract R & MD Corticospinal tract L & Trail - Making Test Part A Score & MD Cerebral peduncle R & PET Cingulum Post R & tabular Group difference across Amyloid Load ( PiB Positivity)tabletable [ ! ]
FA,feedback alignment,"Feedback alignment ( FA ) , a modification to BP in which this symmetry is broken by replacing the forward weights with randomized connections for the backward pass , avoids the weight transport problem ."
FA,failure analysis,"Even without having access to FA tools and reverse engineering capabilities , an end user without reverse engineering capability can still exploit the design vulnerabilities for extracting key value of FSM or logic locked circuitry using side - channel analysis and probing methods ."
FA,firefly algorithm,The result shows that FA outperforms IFAB .
FA,false alarm,"A FA, also called a nuisance alarm, is the deceptive or erroneous report of an emergency, causing unnecessary panic and/or bringing resources  to a place where they are not needed."
FA,fault attack,They pointed out that their scheme provides security against FA attacks by using the Montgomery method for coherent check and high probability detecting injected errors .
GPA,gaussian process adaptation,"& & UCSD to & Mall to Method & Mall & UCSD FA & 7.47 & 4.44 HGP & 4.36 & 3.32 GPA & 4.18 & 2.79 GPTL & 3.55 & 2.91 Bidirectional ConvLSTM & 2.63 & 1.82 -2em ConclusionIn this paper , we have pursued the direction of spatiotemporal modeling for improving crowd counting in videos ."
GPA,generalized procrustes analysis,These meshes are then rigidly aligned using Generalised Procrustes Analysis ( GPA ) .
GPA,graph partition algorithm,"As we can see , GPA outperforms HARP on all datasets and in terms of both similarity measures , and the results of HARP is slightly better than the ones of Random ."
APS,adaptive patch selection,The average PSNR results of APS and No - APS schemes on 6 test images are shown in Table .
APS,adaptive patch search,"Thus , under the task of image denoising , the proposed APS scheme can enhance the accuracy of nonlocal similar patch selection ."
APS,american physical society,"* [ ht ] Indian Physics coauthorship network ( 1970 - 2013 ) in major APS journals PRA , PRB , PRE ; PRC , PRD , and PRL , with major communities and their main field of research ."
APS,augmented path schema,Labellings of Consistent APS are CorrectAn APS assigns to every position on each of its runs the labelling .
FEM,finite element method,It shows that the SRS predicted from LPSRS method agrees well with the SRS calculated from FEM .
FEM,finite element methodgm97,The advantage of FEM model is that it gives more realistic deformation result than mass - spring system because the physics are more accurate .
CT,computed tomography,The database is constructed from 915 clinical CT volumes consisting of head and neck images .
CT,constraint theory,"theoremOn the other hand , CHR ( with multiple heads ) is still Turing powerful also when considering a signature containing finitely many constant symbols and no function symbol , and assuming that CT defines only the = symbol which is interpreted as before and which , as before , can not be used in the body of rules ."
CT,contributor trust,"For CV and CT methods , we multiply the class weights with crowd votes for each label and crowd trust scores for each label , respectively ."
CT,conditional training,"CT and LSR stand for the conditional training and label smoothing regularization , respectively ."
CT,crowd trust,"Aggregated image labels were computed with four aggregation methods ( CV , CT , CV and CT ) ."
CT,confidential transactions,"If Bulletproofs where used in replacement of the underlying range proof used in CT , then it would reduce this requirement to only 17 GB ."
CT,coordinated turn,For the CT model with turning rate unknown : and .
CT,class table,"prooflemmalem : satisfyIf CT satisfy , is ground , and CT satisfy , is ground , then CT satisfy , where and ."
CAD,coronary artery disease,"In adults who go to the emergency department with an unclear cause of pain, about 30% have pain due to CAD."
CAD,computer aided design,We used Autodesk 's 123D Design(A basic and intuitive freeware CAD tool http://www.123dapp.com/design ) for designing some of the more complex robots ' parts .
CAD,computer aided diagnosis,"We can later use the remaining cases of image lesions , from the dataset , for prediction to test the performance of the proposed CAD system , since they can be considered as “ never - seen ” images ."
IR,imbalance ratio,"The mean imbalance ratio ( mean IR ) gives the information about , whether the dataset is imbalanced or not ."
IR,individual rationality,"More specifically , the ECSP needs to determine the winner and the corresponding payment so as to maximize the ECSP 's revenue , i.e. , the payment received from the winner , while guaranteeing the DSIC and IR ."
IR,information retrieval,recently proposed relevance - based word embedding models for learning word representations based on the objectives that matter for IR applications .
IR,interference range,"Based on the real measurements and the scale - up degree , the relationships between IR and are given in Table I , in which the IR is measured in meters ."
IR,immediate regret,"Dana White later stated in the UFC on Fox 13 post fight press conference that the UFC wouldn't take any disciplinary actions towards Gadelha, due to her IR shown towards Jędrzejczyk."
IR,influence rank,"In Allan Hanbury , Gabriella Kazai , Andreas Rauber , and Norbert Fuhr , editors , Advances in Information Retrieval - 37th European Conference on IR Research , ECIR 2015 , Vienna , Austria , March 29 - April 2 , 2015 ."
IR,influence ratio,"figure * [ ] subfigure[]0.45 images / CNN_ratio_IR.png CNN subfigure subfigure[]0.45 images / FOX_ratio_IR.png FOX News subfigure Life cycle of two pages regarding IR and elapsed time RatioIRfigure*figure * [ ] subfigure[]0.90 images / CNNuser.png CNN subfigure subfigure[]0.90 images / FOXuser.png FOX subfigure Users General Activities on Facebook Discussion Groups FOXUserfigure*Attackers ' footprintIn addition to the post thread life cycle we described , we are also interested in the user 's other activities ."
IR,integrates results,htbp ] p3 cm p3 cm p3 cm p3 cm & 3cSemantic Evaluation Measures & Embedding Average & Greedy Matching & Vector Extrema IR - BM25 & & & Seq2Seq & & & Transformer & & & Results based on semantic measures .
IR,incremental relaying,"Security - Reliability Analysis of IR SchemesBased on the available knowledge of CSI for the different links and system complexity , different relay selection schemes are presented and analyzed for the following three cases ."
IR,image resolution,We present promising experimental results on our IR image sequence dataset .
IR,inactive region,"Hence , During seconds , SU senses PU channel over band to determine the belonging region ( i.e. , HR , IR , CR ) ."
SMT,satisfiability modulo theory,SMT SolversSatisfiability Modulo Theory ( SMT ) is a current area of research that is concerned with the satisfiability of formulas with respect to some background theory .
SMT,statistical machine translation,"NMT model 's successes on translating simple dummy pronoun ( upper panel ) , while fails on a more complicated one ( bottom panel ) ; SMT model fails in both cases ."
SMT,semantic mask transfer,"* FbF : Frame - by - frame , FT : Feature Transfer , SMT : Segmentation Mask Transfer Experimental Conditions and Evaluation CriteriaTemporal dimension length , which is equal to the number of frames fed into the LSTM architecture , was changed throughout the experiments ."
ER,entity relationship,Then we outline the procedure for converting the ER inputs to mode definitions .
ER,error rate,"To know the proposed performance improvement , this research using external validation method , that is rand index , purity , and error rate ER ."
ER,erdos - renyi,"Currently , ER , SBM , DCER , DCSBM , and RDPG are supported for model estimation ."
ER,experience replay,"It may seem a bit counter - intuitive that , even though ER repetitively trains on , it is still able to generalize to previous tasks beyond the episodic memory ."
ER,estrogen receptor,"In this study , we quantify IHC TMA images for labeling of ER status with two different crowdsourcing approaches , image labeling and nuclei labeling ."
ER,entity recognition,"Hence , although the labels are different , we hypothesize that there is some useful information from ER that can be leveraged to improve overall SRL performance ."
JCR,journal citation report,"Using Thomson Reuters ' JCR , we can assign each journal to a research topic , then repeat the analysis of figure distribution by research topic rather than journal ."
JCR,jointly convex representation,"Note that , for the JCR condition to hold , the activation function needs to be monotone ."
STBM,stochastic topic block model,"Closer investigation revealed that some employees in the same group found by SBM talked about different topics than the rest of the group , hence the splitting of a group into smaller ones found by STBM ."
STBM,stochastic tensor block model,"The STBM can be viewed as an extension , to higher - order tensors , of the popular stochastic block model for matrix - based network analysis ."
EC,evolutionary computation,"In computer science, EC is a family of algorithms for global optimization inspired by biological evolution, and the subfield of artificial intelligence and soft computing studying these algorithms."
EC,equivalence class,"DAGs in an EC are Markov equivalent ; that is , given an observed dataset , they are statistically indistinguishable and represent the same set of independence assertions ."
EC,eigenvector centrality,"EC of node , ."
EC,effective concentration,"In chemical thermodynamics, activity  is a measure of the ""EC"" of a species in a mixture, in the sense that the species' chemical potential depends on the activity of a real solution in the same way that it would depend on concentration for an ideal solution."
EC,empty categories,"chung2010effects systematically examine the effects of EC on MT with three methods : pattern , CRF ( which achieves best results ) and parsing ."
EC,emergent configuration,"Notably , we identify multiagent systems as arguably the main area of interest for advancing the EC concept presented in this work ."
UE,user equilibrium,"Goodness of fitFor classical ODE , the goodness of fit indicator measures how close the estimated O - D demand mean can , if loaded into the network following a deterministic traffic assignment model ( UE or SUE ) , reproduce the observed traffic conditions ."
UE,unreal engine,and UE ( Sec . ) .
UE,user equipment,"Proof of Lemma Based on the considered cell association rule , the typical UE is associated with a BS in tier if the following is satisfiedwhere ( a ) follows by the serving link directivity gain assumption and , ."
ODE,o - d demand estimation,"Goodness of fitFor classical ODE , the goodness of fit indicator measures how close the estimated O - D demand mean can , if loaded into the network following a deterministic traffic assignment model ( UE or SUE ) , reproduce the observed traffic conditions ."
ODE,ordinary differential equation,We say that is an autonomous ODE system .
VI,vector initialization,We reckon that VI is strongly influenced by frequency .
VI,variable importance,"In this paper , we introduce a new CI test to measure VI ."
VI,variational inference,This is interesting for the reason that the continual mechanism is similar to SVI methods in GPs but using analytic gradients instead ( use of stochastic VI implies noisy gradient vectors depending on the size of mini - batches and the learning rate hyperparameter ) and it is also flexible to an irregular size of batches .
VI,variational information,VI : normalised variational information .
VI,vegetation indices,"More specifically , the three steps were : Steps of Image Processing and Analysis for Identifying Rangeland VI ."
RI,random indexing,Yet another way to make the models comparable is made possible by the fact that prediction - based word embedding approaches ( as well as RI ) allow for incremental updates of the models with new data without any modifications .
RI,rand index,"Rand Index ( RI ) measures the similarity between two clusterings , it ranges between 0 and 1 with a perfect match being scored 1 ."
DM,distribution matching,Distribution matching ( DM ) encoders are typically used in PS and they offer very good performance for long block lengths .
DM,discovery of models,"The Jet Propulsion Laboratory , California Institute of Technology ( NASA - JPL ) is part of the DM government team , which consists of NASA - JPL , MIT Lincoln Laboratories , and the US National Institutes of Standards and Technology ( NIST ) ."
DM,dialog management,fig : state - based subfigure RL - based approaches to personalized DM .
DM,directional modulation,"Compared with three typical values of PA factor such as , and , especially with small - scale number of transmit antennas at DM transmitter , the SR performance gain achieved by the OPA is relatively attractive with the maximum SR improvement percent being more than ."
DM,data management,"DM is a distributed team working at LSST and partner institutions , with the DM Subsystem Manager located at LSST headquarters in Tucson ."
ASE,amplified spontaneous emission,"In eq : eff , represents the variance of the ASE noise and the variance of the NLI that includes both intra- and inter - channel distortions ."
ASE,average scale error,"Despite obtaining better ( lower ) TP metrics ASE and AOE compared to PointPillar , the main advantage of LiDAR - based methods are shown in their lower translation errors ( and therefore also in the corresponding AP scores at various distances ) ."
AIR,achievable information rates,AIR - based Geometric Shaping OptimizationFig .
AIR,application instance role,"For instance , the transition from to in Figure uses an AIR and is only allowed if the user address matches the value stored in the instance data variable ."
TL,tracking logic,Benefits of the Programming Model and TL ModuleThe flexibility and expressivity of our domain - specific programming model was illustrated through the exemplar applications in Table .
