acronym,expansion,anchor_sentence
LA,left atrial,"Avastin is known to inhibit neoangiogenesis and can cause bleeding as one of its complications. The upper GI endoscopy was done on _%#MMDD2006#%_. It demonstrated a LA grade A reflux esophagitis. There were 1 or more mucosal breaks, less than 5 mm, not extending between 2 mucosal folds."
LA,Louisiana,"_%#MM#%_ _%#DD#%_, 2007 _%#NAME#%_ _%#NAME#%_ Our Lady of the Lakes Regional Center _%#STREET#%_ _%#STREET#%_ _%#STREET#%_ _%#ADDRESS#%_ _%#ADDRESS#%_ _%#CITY#%_ _%#CITY#%_, LA _%#70800#%_ Dear Drs. _%#NAME#%_ and _%#NAME#%_: I had the pleasure of seeing _%#NAME#%_ accompanied by her mother on Thursday, _%#MM#%_ _%#DD#%_, 2007 for a consultation on our bone marrow transplant unit."
SMA,spinal muscular atrophy,"In the patient's family it appears that the type of SMA has both a prenatal onset, as well as early infancy. The autosomal recessive inheritance of SMA was reviewed for the patient. Given the family history the patient has a 50% risk to be a carrier for SMA. We discussed that carrier testing through genetic analysis would be available to the patient given that the patient's family members have also had carrier testing for SMA."
SMA,superior mesenteric artery,"I discussed the case with Dr. _%#NAME#%_. No intervention at this time from his standpoint. She does have the celiac artery, high grade stenosis proximally but does have a patent SMA and IMA. PROCEDURES OTHER TESTS DONE: 1. Cardiology consult. 2. CT angio of the abdomen as above."
SMA,sequential multiple autoanalyzer,"4. Colace 100 mg p.o. b.i.d. 5. Aspirin 325 mg p.o. daily. 6. Atenolol 50 mg p.o. q.p.m. FOLLOWUP: He should follow up with Dr. _%#NAME#%_, his primary care physician, with an SMA 7 this coming Monday, _%#MMDD2004#%_, as well as Dr. _%#NAME#%_ in the urology clinic with another SMA 7 next Thursday, _%#MMDD2004#%_, and with Dr. _%#NAME#%_ on Friday _%#MMDD2004#%_."
SMA,smooth muscle actin,"It was reviewed by Dr. _%#NAME#%_ _%#NAME#%_ as a plasmacytoma with lambda light change restriction. Special immunohistochemical stains: RCD 45 positive, CD 99 positive. Cytokeratin, SMA, MSA, and myogen were all negative. CT scan of the chest shows no adenopathy. There is calcification of the right hilar node region."
SMA,smooth muscle antibody,"3. Current symptoms are not thought to be secondary to his blood pressure medication as typically with lisinopril there would be more of a cholestatic type picture with increased alkaline phosphatase. 4. We will, therefore, check iron studies, ANA, AMA, SMA, B12, and folic acid. 5. Viral serologies have already been requested. 6. Liver biopsy will be entertained, however, that after repeated liver studies over the next few weeks."
SMA,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
RT,NAME,CHIEF COMPLAINT: Fever. HISTORY OF PRESENT ILLNESS: _%#NAME#%_ _%#NAME#%_ is a _%#1914#%_ male recently discharged from Southdale Hospital with urosepsis to _%#CITY#%_ Care Center. This morning was getting up to the bathroom trying to walk without his walker; he fell and bumped his head at that time.
RT,retrograde tachycardia,"EKG normal sinus rhythm. A strip of tachycardia was reviewed. It showed a narrow-complex tachycardia and a rate of 200, with questionable retrograde P wave suggestive of possible AV and RT. HOSPITAL COURSE: The patient was admitted to a monitored bed and was ruled out for MI with serial troponins and EKGs."
RT,right,My key findings: CC: Stage IIA NHL. HPI: Previously treated with chemo-radiation. Finished _%#MM1999#%_. She was asked to see us because of questionable lymph node in the mediastinum and RT side of pleural effusion. Exam: Essentially negative. Assessment and Plan: Chest CT from today shows no change since _%#MM2002#%_.
RT,respiratory therapy,3. Will place patient on 2 liters nasal oxygen and monitor O2 continuously. If he has any periods of hypoxia will have RT assess and initiate CPAP therapy. 4. Follow-up labs in the morning including hemoglobin and BMP. 5. Will follow closely with you for management of intercurrent medical issues.
RT,radiation therapy,"HPI: Patient noticed neck mass. Exam: 4 x 5 cm level II mass, 2.5 cm BOT irregularity, both on left. Assessment and Plan: We have recommended RT and have discussed possible side effects."
RT,(drug) RT,"18. L5-S1 anterior discectomy, L5-S1 anterior lumbar interbody fusion with cages and bone, morphogenic protein and L5-S1 anterior lumbar instrumentation with Sofamor Danek brand RT cages, all done on _%#MMDD2003#%_ at _%#COUNTY#%_ _%#COUNTY#%_ Medical Center. 19. Bilateral simple mastectomy and left sentinel node biopsy and bilateral first stage reconstruction with fibromuscular tissue expanders bilaterally done on _%#MMDD2004#%_ at _%#COUNTY#%_ _%#COUNTY#%_ Medical Center."
RT,respiratory therapist,"SOCIAL HISTORY: The patient is married. She has one nine-year-old son. She does not smoke. Uses one alcoholic beverage a month. She works as an RT in the NICU here, at _%#CITY#%_. ALLERGIES: Codeine upsets her stomach. MEDICATIONS: 1. Paxil 20 daily."
RT,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
BK,below knee,"He is warmed to about 2 inches above the calcaneous and has fairly good anterior skin. It appears that we can get a 4 to 5 inch BK amputation safely on him. IMPRESSION: Avascular gangrenous left foot secondary to diabetes mellitus. We will plan to proceed with surgery, hopefully on Thursday, as he will be dialyzed on Wednesday and that would be a perfect time to do the surgery."
BK,BK (virus),"HOSPITAL COURSE: The patient was admitted to 6B for infectious disease workup. The patient was empirically treated with Zosyn, Diflucan and vancomycin. The patient had several labs drawn including BK, CMV, EBV, Rapid Strep and culture. All lab work was positive for BK in the urine of greater than 10 million. Serum BK PCR was ordered. The patient had a computed tomography scan with sinus studies due to complaints of likely sinusitis."
AC,(drug) AC,"2. We will continue to hydrate, although we will decrease IV fluids as he is urinating quite frequently to 15 cc a hour. 3. Anxiety: Will continue Librium as needed. 4. Cough: We will add Robitussin AC to be taken mostly at night for his sleep. 5. The patient does complain of some constipation, so we will make Milk of Magnesia, Fleet's enemas, and Colace available if needed."
AC,angiotensin-converting enzyme:ACE,She does desaturate at night. 3. Diuretics are not contraindicated if true volume excess can be documented. 4. Afterload reduction. 5. Close monitoring of renal function. 6. Consider alternate AC inhibitors if creatinine continues up. (Would not change at this point.) HISTORY: _%#NAME#%_ _%#NAME#%_ is a 71-year-old woman who has had a couple of admissions here for acute shortness of breath.
AC,alternating current,"The patient should keep the vent filter free from fluid or obstructions and should keep the PVU in a properly grounded three-prong 110 volt AC outlet. The patient will get dressing supplies from Midwest Medical (_%#TEL#%_). 6. If the patient notes any drainage, pain, swelling, fever greater than 101.5, or problems around the drive line or sternal incision, she should call the doctor."
AC,acromioclavicular,"There are no signs of instability. Examination of both shoulders shows no significant atrophy about the shoulder girdle. The skin is intact without lesions, masses, or ecchymosis. Palpation of both shoulders reveals no tenderness at the AC joint, anterolateral rotator cuff, anterior glenohumeral joint, or posterior glenohumeral joint. Passive range of motion of the left/right shoulder shows external rotation of 70/70, internal rotation of T7/T7, abduction of 100/100, and elevation of 180/180."
AC,acetate,5. Nitro spray prn. 6. Plavix 75 mg PO daily 7. Prednisolone eye drops 1% one drop two left eye daily 8. Prednisolone AC 1% one drop to the right eye b.i.d. 9. Lasix 40 mg daily. The patient is not taking this however. 10. Lipitor 10 mg daily 11. Prednisone 5 mg PO daily
AC,abdominal circumference,"The patient's prenatal care was done at Southdale Ob-Gyn with labs of O positive, and serology nonreactive. Concerns for size less than dates were noted in the third trimester and patient at 37 weeks was found to have an EFW of less than 10th percentile and an AC less than 2nd percentile. The patient underwent induction of labor secondary to IUGR. HOSPITAL COURSE: The patient was admitted on the morning of _%#MMDD2007#%_."
AC,anticoagulation,"EXTREMITIES: Ankle edema, 1+. NEURO: No obvious focal signs. SKIN: No petechiae, purpura, or nodularity. LAB DATA: Hemoglobin was 8.4 prior to transfusion and now is 10.6. PTT initially was greater than 240 (she had been getting AC for DVT previously), INR 1.9. Sodium 136, potassium 3.7, chloride 100, CO2 17, creatinine 4.0 (versus 3.8 versus 2.8 versus 1.8 versus 1.2 versus 0.7 on _%#MMDD2004#%_)."
AC,adriamycin cyclophosphamide,The patient had two sentinel lymph nodes which were negative. ER and PR were negative. Her-2/neu was negative. The patient is scheduled to received six cycles of AC chemotherapy by Dr. _%#NAME#%_. The patient had a prolonged third and fourth cycle because of low blood counts. The patient did not have any hospitalizations or infections. The patient is receiving dose #5 for cycle #5 of chemotherapy today.
AC,assist control,"REVIEW OF SYSTEMS: Unable to obtain. PHYSICAL EXAMINATION: Afebrile, blood pressure 120s/70s, heart rate 70s to 80s. Respirations 20-22, 95-98% saturation on vent support. Vent setting AC mode, TV 700, rate 12, PEEP 5 and FI02 50%. GENERAL: The patient is intubated and sedated in no apparent distress."
AC,antecubital,"PHYSICAL EXAMINATION: VITALS: The patient is afebrile. Blood pressure is 135/66, respiratory rate 8, and heart rate 70. Last bowel movement prior to admission. Current IV access is right subclavian line, right AC line, left AC line. Vent per RT. Pulse ox is 96%. HEENT: Intubated. No excessive oral secretions. Neck: Left positive jugular venous distention. No carotid bruits. LUNGS: Diminished throughout bilateral, silent bases laterally."
AC,before meals,"17. Vicodin 1 to 2 p.o. 4 hours p.r.n. pain. 18. Tylenol 650 mg p.o. q. 4 hours p.r.n. pain/fever (do not take with Vicodin). 19. Humalog insulin sliding scale subcu t.i.d. (AC) p.r.n. hyperglycemia: 120-150 1 unit, 151-200 3 units, 201-250 5 units, call MD. DISCHARGE: The patient was told to restrict lifting to less than 10 pounds for 6 weeks from the time of surgery."
BAL,bronchoalveolar lavage,"HOSPITAL COURSE: The patient was admitted and her antibiotic protocol regimen was changed to vancomycin and ceftazidime along with voriconazole. She had a CT scan, which revealed question of some pulmonary infiltrates in the left base. Pulmonary was consulted and performed BAL, which was nondiagnostic and did not grow any organisms. During her stay, she was intermittently febrile and cultured multiple times, however, no infectious agent was identified."
BAL,blood alcohol level,She has no children. She has never been pregnant. She tends to isolate. Patient entered Fairview Evening Outpatient Program in _%#MM#%_ after a DWI. Her BAL was greater than .3. She progressed to the outpatient program and it was somewhat lengthened due to her having to go to school one day a week.
C3,(complement) component 3,"Specifically, there were no areas of abnormal enhancement, other work-up was unremarkable including sed rate of 17. b. Component studies C3, C4 and neutrophil cytoplasmic antibodies as well as double stranded DNA and ANA screen were sent but will need follow up at the time of discharge."
C3,cervical (level) 3,"DISCHARGE DIAGNOSIS: Cervical myelopathy and radiculopathy. PROCEDURE PERFORMED: C3 to C7 laminectomy, foraminotomy, lateral mass instrumentation, fixation, and fusion. HISTORY OF PRESENT ILLNESS: Mr. _%#NAME#%_ is a 53-year-old, right-handed male, who was injured while working in a nursing home in _%#MMDD#%_."
C3,propionylcarnitine,"DISCHARGE DIAGNOSES: 1. Possible cobalamin deficiency (newborn metabolic screen positive for C3 acetylcarnitine, homocystine and methylmalonic acid. Urine organic acids with mildly elevated methylmalonic). 2. Unconjugated hyperbilirubinemia status post phototherapy, likely physiologic."
C3,(stage) C3,"RECTAL: No rectal masses noted. Prostate gland biopsy changes noted on right side of prostate gland from near base to apex. IMPRESSION: 1. Palpable bilateral abnormalities involving rectal wall. The patient is evidence for stage C (C3 A) disease. 2. Prostate nodule. 3. Rising PSA. 4. History of radiation therapy. RECOMMENDATIONS: Again I had a long talk with patient regarding the options for therapy, including rationale, risks, goals, side affects, and alternatives."
RA,retinoic acid,4. No history of anesthesia reaction in self or family. MEDICATIONS: 1. Provigil 400 mg daily. 2. NuvaRing for contraception. 3. RA lotion and Retin-A 0.1% cream at bedtime p.r.n. for acne. 4. Ibuprofen 800 mg t.i.d. p.r.n. ALLERGIES: None. PHYSICAL EXAMINATION: GENERAL: No distress.
RA,right atrium,"Her mother is with her. LUNGS: Clear. ABDOMEN: Soft. Bowel sounds are ______active, yet present. There is diffuse abdominal discomfort without marked pain. No rebound. JOINTS: Unchanged from baseline. She has diffuse RA involvement through all of the axial as well as peripheral skeleton. Pupils are 2 mm and round. Gaze is normal. speech pattern and content are appropriate given her affect and discomfort."
RA,rheumatoid arthritis,"This will be managed by Dr. _%#NAME#%_ as well as anticoagulation and physical therapy. 2. Arthritis, possibly RA. She will continue on her Plaquenil. 3. Chronic pain. In addition to the medications above, she continues on Mirapex."
RA,room air,"She may have felt feverish, but denies chills. The patient was seen in the ER on _%#MM#%_ _%#DD#%_, 2002. At that time, vital signs included temperature 98, heart rate 116, blood pressure 144/95, RR 16, SPO2 98% on RA. Physical exam was unremarkable at that time. The patient was admitted to the medicine ward. PAST MEDICAL HISTORY: Multiple and complex. 1. Longstanding psoriatic arthritis."
RA,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
SA,methicillin-susceptible Staphylococcus aureus:MSSA,"_%#MMDD#%_, hemoglobin was 9.8. _%#MMDD#%_, hemoglobin 10.7, potassium 4.0. Wound culture from the gangrenous foot showed MRSA susceptible to gentamicin, vancomycin and Septra and tetracycline. Culture from the nose reported M SA also sensitive to the same antibiotics. _%#MMDD#%_, sodium 128, potassium 3.9. Glucose on that day was 278. 05/01, sodium 130 HOSPITAL COURSE. The patient initially required control of her congestive heart failure in preparation for general anesthetic and BK amputation of the left leg."
SA,sinuatrial,"He is not on nitrates at this time. His heart rhythm is unstable. He may be actually reperfusing already, or alternatively this may be a very proximal lesion and he may have sinoatrial (SA) node ischemia. RECOMMENDATIONS: We will need to take the patient directly to the Heart Catheterization Laboratory."
SA,MISTAKE:Oncotype DX,The patient did not have any lymphovascular invasion however the margins were positive. The patient underwent reexcision. Her primary pathology reveals negative HER2 receptor. Her uncle type SA showed low risk of recurrence to be about 5% over the next 10 years according to Dr. _%#NAME#%_. It was decided to not proceed chemotherapy and use Arimidex after her radiation is finished to her right breast.
SA,American Society of Anesthesiologists:ASA,We are currently holding her aspirin and have discontinued her Detrol secondary to no real benefit seen in this with her. She is otherwise doing well in the SA Class II to III for surgery. Would follow her fluid status and cardiac status closely. Basic metabolic panel is pending; we will fax when back from the lab.
SA,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
SA,slow acting/sustained action,4. Parkinsonism secondary to #1. 5. Bilateral groin yeast infection. DISCHARGE MEDICATIONS: Aggrenox SA (25/200 mg) orally twice daily. Corgard 40 mg orally daily. Lipitor 40 mg orally in the evening. Niaspan 1000 mg orally at bedtime.
SA,sinus arrest,"His TSH was 2.09. His electrolytes and creatinine were normal. On carotid sinus massage on the left side, he did have transient SA arrest for approximately 3 seconds. This was probably an incidental finding. Also of note, his fasting blood sugar was 129. Hemoglobin A1C was ordered, but is pending at the time of this discharge."
SA,saturation,"She is a former smoker. REVIEW OF SYSTEMS: Negative. PHYSICAL EXAMINATION: VITAL SIGNS: She is on Bipap and cannot speak well with Bipap, pulse was 83 and SA O2 was 96%. Respiratory rate is in the high 20s. HEENT: Normocephalic, atraumatic. No rashes. EXTREMITIES: No cyanosis, clubbing or edema. Peripheral pulses are intact."
BMP,beta-natriuretic peptide:BNP,"His respiratory distress is most likely multifactorial in etiology. His clinical presentation, the initial chest x-ray, and the traumatically elevated BMP are all consistent with acute superimposed on chronic heart failure. He has had a good diuresis with greater than a nine pound weight loss over the course of the past five days, and his creatinine has remained relatively stable."
BMP,bone marrow transplant:BMT,"On the day of discharge, his white count was 3.9 and his hemoglobin 9.6 and platelet count 26 and he was instructed to followup in BMP clinic the following day for a possible platelet transfusion. 3. EPI and GI. _%#NAME#%_ maintained an adequate appetite during this hospitalization and was on a regular diet."
BMP,bone morphogenetic protein,"1. Removal of failed internal fixation, left proximal femur. 2. Repair of nonunion with use of iliac crest autograft, local autograft, and infused BMP. 3. Revision internal fixation, left proximal femur with a 95 degree angled blade plate and broad large fragment locking plate."
BMP,basic metabolic profile,"LABORATORY DATA: Serum ketones are positive. Urinalysis, specific gravity 1.016, glucose greater than 1000, positive ketones, negative nitrites and leukocyte esterase with 2 WBC and 1 RBC per high-powered field. BMP significant for a sodium of 139, potassium 4.7, chloride 95, bicarbonate 24, creatinine 1.36 with BUN 24, glucose elevated at 371."
CEA,carotid endarterectomy,Atrial fibrillation. Abdominal hernia. Clostridium difficile. Recent myocardial infarction. PAST SURGICAL HISTORY: Self-inflicted gunshot wound to the abdomen. Tonsillectomy. CEA. Left hip replacement. Left cataract surgery. REVIEW OF SYSTEMS: Review of systems not available as the patient at this time is mute.
CEA,cancer:CA,No speech difficulties or understanding others as well. No increased weakness of the lower extremity. No disturbance of vision. No headaches. PAST MEDICAL HISTORY: 1) Hypertension. 2) CEA diagnosed on MRI a number of years ago. 3) Bilateral total knee arthroplasty. 4) Status post right hip ORIF. 5) Rheumatoid arthritis. ALLERGIES: None. MEDICATIONS: 1) Prednisone 5 mg q.d. 2) Lasix 20 mg q.d. 3) Metoprolol 12.5 mg b.i.d. 4) Lisinopril 2.5 mg q.d. 5) Folic acid 1 mg q.d. 6) Citalopram 10 mg q.d. 7) Ciprofloxacin 500 mg b.i.d. recently for a UTI.
CEA,carcinoembryonic antigen,"If indeed she has resolution of her symptoms, then I think she would be able to avoid surgery. There is some concern with her minimally elevated CEA level, and that will need to be taken into consideration as we move along. She should be at fairly low risk for recurrence of her previous colon cancer, though certainly there is some possibility of having a new colon cancer in her remaining colon; and colonoscopy might be considered."
CEA,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
CEA,cerebrovascular accident:CVA,"BUN is 23, creatinine 0.88, and glucose 88. CT of her head on admission to the emergency department showed old changes with possible old CEA of the left frontal lobe, no acute changes. Ultrasound of lower extremity showed right posterior tibial vein thrombus and right Baker's cyst."
AB,NAME,CHIEF COMPLAINT: Fever. HISTORY OF PRESENT ILLNESS: _%#NAME#%_ _%#NAME#%_ is a _%#1914#%_ male recently discharged from Southdale Hospital with urosepsis to _%#CITY#%_ Care Center. This morning was getting up to the bathroom trying to walk without his walker; he fell and bumped his head at that time.
AB,X-ray finding,"His electrolyte panel revealed sodium 143, potassium 4.0, chloride 107, bicarbonate 25, BUN slightly elevated at 35 with a creatinine of 1.2. His calcium was 7.6, but I anticipate his albumin is also low, so this may correct. A chest x-ray was performed and is reportedly improved when compared to his previous chest x-ray. No pleural effusion, Kerley AB lines, or notable infiltrate seen. IMPRESSION: 1. Non-small cell lung cancer with metastasis on chemotherapy - The patient's last chemotherapy was approximately 12 days ago and he is not neutropenic."
AB,MISTAKE:abduction,This has significantly improved. NEUROLOGIC: Sensory exam is within normal limits. His muscle strength reveals slight proximal weakness remaining. Hip flexors are 4/5 bilaterally. Hip AB and AD duction are 5/5 bilaterally. Distally in lower extremity he is 5/5 this has significantly improved from admission.
AB,arteriovenous:AV,"No vision changes. no abdominal pain, with some occasional rectal incontinence. No shortness of breath. No chest pain. PAST MEDICAL HISTORY: 1. AB fistula placement on _%#MM#%_ 2002 in her right forearm for vascular access. 2. End stage renal disease as above. 3. Paranoid schizophrenia for 25 years controlled on medications."
AB,abortion,"_%#NAME#%_ _%#NAME#%_ is a 31-year-old gravida 3 para 2 AB 1, last menstrual period _%#MM#%_ _%#DD#%_, 2003, who presents for an operative hysteroscopy. The patient has a history of losing a pregnancy at 25 weeks gestation."
AB,antipyrine benzocaine,4. Psoriasis. The patient will be started on triamcinolone as well as lotion. 5. Right ear wax. The patient will continue AB otic solution. 6. Constipation. The patient will consider continue Colace. 7. Flatus. The patient will have simethicone on a p.r.n. basis.
AB,blood group in ABO system,"She was subsequently discharged when there was no progress. She returned on the day of admission complaining of vaginal discharge. She was also having irregular contractions q. 6 to 7 minutes. Prenatal record reveals that her blood type is AB positive, antibody negative, rubella immune, RPR nonreactive, hepatitis B surface antigen negative, hemoglobin 12.8, GC and chlamydia cultures negative, urine culture was also negative."
AB,atrioventricular:AV,"I suspect this is related to implantation of his AICD and this was also shown in the MADIT II trial that, despite a survival benefit, many of the patients had worsening congestive heart failure and this is most likely due to the fact that he has a fair amount of pacing which is wide complex which is less efficient. We will have his pacemaker reprogrammed to decrease the rate and increase the AB delay such that he paces less frequently. 4. He appears to be responding to Lasix already. I will, as he is in the hospital with decreased left ventricular function, put him on a course of Natrecor to tune him up."
AB,"type A, type B","Official reading pending. White blood cell count is elevated at 24.8 with 96% neutrophils and hemoglobin of 12.4. Electrocardiogram shows atrial fibrillation with a rapid ventricular response. No sign of ischemia. Influenza AB swab is pending at this time. ASSESSMENT: 1. Pneumonia, right lower lobe, possible sepsis. Aspiration is possible."
AB,ankle-brachial,"7. Laryngospasm. CONSULTANTS: 1. Nephrology. 2. GI. 3. ENT. SIGNIFICANT FINDINGS: An 81-year-old woman is admitted to the emergency room where she was found to have hemoglobin of 10.4, sodium 139, potassium 4, BUN 44, creatinine 3.4. She was quite nauseated. She had been recently diagnosed with peripheral vascular disease with AB index and Doppler findings. HOSPITAL COURSE: _%#NAME#%_ _%#NAME#%_ was admitted and Nephrology consult was undertaken."
AB,arterial blood,"Electrolytes were normal. Creatinine 0.4, INR 1.24. ASSESSMENT AND PLAN: 43-year-old gentleman status post HeartMate XV LVAD is ready for extubation once we see an ABG gas, once we see a CPAP trial, AB arterial blood gas, continue diuresis with Lasix. We will also get a speech evaluation prior to instilling oral feeding."
AB,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
PA,posterior-anterior,"SKIN: Chest wall lesions as noted above. LABORATORY: The results are pending at the time of this dictation and include hemoglobin, WBC, metabolic panel, and ALT. Chest x-ray PA and lateral is done and independently reviewed by me. There are no active infiltrates identified. This does raise a question of shaggy right heart border concerning for an underlying process, possibly lymphangitic involvement."
PA,physician assistant,"Otherwise, her central nervous system exam seemed intact, though the lateral antibrachial cutaneous nerve had some dysthesia, as well. Dr. _%#NAME#%_ was notified by his PA, as he was in surgery. Otherwise, Ms. _%#NAME#%_ was doing fine postoperatively. With some minor adjustments, her pain was controlled with p.o. medications prior to discharge."
